,0,1,Ni,Ti,Al,FWHM
0,-9,-30,59.98224286,32.40483782,7.612909647,0.353388246
1,-6,-30,55.39989339,36.60752907,7.992570436,0.405052804
2,-3,-30,50.65512164,41.09465161,8.250234208,0.4208968
3,0,-30,45.97885044,45.55721524,8.463945423,0.454186521
4,3,-30,41.29758798,50.03005805,8.672362362,0.467686474
5,6,-30,36.90482466,54.45612821,8.639050313,0.459320332
6,9,-30,32.6755289,58.92884676,8.395624107,0.562875329
7,-15,-27,66.67206503,25.61573758,7.712172999,0.128314845
8,-12,-27,62.78500026,29.04083927,8.174135936,0.389722977
9,-9,-27,58.52934828,32.80855309,8.662072883,0.397131284
10,-6,-27,54.07263373,36.93894025,8.988413338,0.419254961
11,-3,-27,49.40446897,41.35878961,9.236752089,0.422632983
12,0,-27,44.53656827,45.99497293,9.468486535,0.458355502
13,3,-27,40.06300876,50.29914863,9.637854922,0.476119076
14,6,-27,35.85622271,54.49671617,9.647059906,0.512417213
15,9,-27,31.70750205,58.80374127,9.488757399,0.516584722
16,12,-27,27.60571893,63.20519805,9.189066264,0.592828935
17,15,-27,23.95346934,67.17182664,8.874687793,0.598096183
18,-18,-24,69.1929718,22.51048806,8.296516438,0.090533171
19,-15,-24,65.66787651,25.55090704,8.781197579,0.399800372
20,-12,-24,61.58417101,29.16591926,9.24990123,0.381978948
21,-9,-24,57.01188629,33.29359391,9.694507002,0.411711689
22,-6,-24,52.62525131,37.34097417,10.03376938,0.414167587
23,-3,-24,48.22548406,41.43251782,10.34200728,0.392864969
24,0,-24,43.69240334,45.66129508,10.64631485,0.473717936
25,3,-24,39.08688907,50.12296427,10.79013844,0.477887887
26,6,-24,34.97715275,54.22176749,10.80106196,0.512673543
27,9,-24,31.02854566,58.27669925,10.69475292,0.553392933
28,12,-24,27.12747928,62.44958657,10.42292785,0.601535218
29,15,-24,23.61085671,66.30527902,10.08385515,0.5938527
30,18,-24,20.64699243,69.62024721,9.732760595,0.524643239
31,-21,-21,70.86319709,20.38496883,8.751829678,0.097732438
32,-18,-21,67.54450488,23.04917487,9.406302261,0.094080709
33,-15,-21,63.95449331,26.14942615,9.896077044,0.340483777
34,-12,-21,59.78248848,29.85899203,10.3585249,0.350804471
35,-9,-21,55.07023095,34.10588477,10.82388861,0.368069236
36,-6,-21,50.87960839,37.9406063,11.17978462,0.427213212
37,-3,-21,46.61945774,41.85781976,11.5227247,0.400940542
38,0,-21,42.07430678,46.04969878,11.87599201,0.47225246
39,3,-21,37.46645058,50.5325466,12.00098184,0.492280952
40,6,-21,33.44023104,54.60584949,11.95389609,0.485273019
41,9,-21,29.80098691,58.34674756,11.85226516,0.573314911
42,12,-21,25.89330361,62.5625134,11.54418424,0.590820228
43,15,-21,22.59644457,66.16569789,11.23786209,0.601000583
44,18,-21,19.80245905,69.31819826,10.87934696,0.523017686
45,21,-21,17.13921138,72.41889713,10.44189614,0.464776609
46,-24,-18,72.30741874,18.69756888,8.995013286,0.096673017
47,-21,-18,68.86702304,21.31164074,9.821335677,0.095930876
48,-18,-18,65.15283481,24.20888529,10.63827868,0.104766788
49,-15,-18,61.36542543,27.59166679,11.04290784,0.379396234
50,-12,-18,57.20832203,31.25061615,11.54106276,0.393414282
51,-9,-18,52.8271772,34.9180372,12.25478765,0.408768153
52,-6,-18,48.64693751,38.78089713,12.57216553,0.396506883
53,-3,-18,44.31652529,42.85131831,12.83215735,0.443282366
54,0,-18,39.59058941,47.20876775,13.20064224,0.467157491
55,3,-18,35.17931104,51.51176567,13.30892131,0.490235602
56,6,-18,31.34920214,55.39889373,13.25190159,0.539413863
57,9,-18,27.80060168,59.15414683,13.04525048,0.56196903
58,12,-18,24.14125347,63.09703053,12.76171424,0.59513211
59,15,-18,20.96879358,66.64206446,12.38914693,0.607277511
60,18,-18,18.4622101,69.46360873,12.07420205,0.64704784
61,21,-18,15.990502,72.36529269,11.644213,0.485470903
62,24,-18,13.79528006,75.18743066,11.01729037,0.438030956
63,-27,-15,73.50247968,16.53198038,9.965539044,0.093161681
64,-24,-15,70.55208319,18.98529524,10.46262049,0.097118252
65,-21,-15,67.20489686,21.63868678,11.15641465,0.092284863
66,-18,-15,63.42878832,24.59735555,11.97385538,0.304310199
67,-15,-15,59.48361459,27.94738806,12.56899694,0.379079715
68,-12,-15,55.3666788,31.25514899,13.37816842,0.387004049
69,-9,-15,51.19280213,34.66209322,14.14508574,0.399514406
70,-6,-15,46.99836432,38.60935204,14.39227199,0.426382444
71,-3,-15,42.68983829,42.74378443,14.56637872,0.441533154
72,0,-15,38.31011286,46.82360015,14.86628823,0.466940405
73,3,-15,34.0456354,50.86886898,15.08549642,0.503676911
74,6,-15,30.33869194,54.48338686,15.17792243,0.533860352
75,9,-15,26.92970606,58.02416094,15.04613359,0.554299489
76,12,-15,23.32295109,62.07212633,14.60493022,0.561438375
77,15,-15,20.07380293,66.03363052,13.89258055,0.555065185
78,18,-15,17.68898536,68.85233031,13.45869551,0.525999036
79,21,-15,15.42137645,71.6167947,12.9618348,0.481593702
80,24,-15,13.3464475,74.38444926,12.26911372,0.451869231
81,27,-15,11.712549,76.74651261,11.5409398,0.426314907
82,-27,-12,71.77631148,16.69862812,11.52506091,0.095089822
83,-24,-12,68.77181596,19.09199724,12.13618854,0.096446498
84,-21,-12,65.38875293,21.64439571,12.96685622,0.097590403
85,-18,-12,61.77221269,24.45167043,13.77612204,0.388568102
86,-15,-12,57.72213628,27.66694032,14.61093241,0.388187849
87,-12,-12,53.83944779,30.81313583,15.3474057,0.406054023
88,-9,-12,49.83609636,34.18728957,15.97658944,0.418575909
89,-6,-12,45.58063933,38.07426654,16.34508132,0.43359115
90,-3,-12,41.32908495,42.02594773,16.64496826,0.461873002
91,0,-12,37.15389357,45.79450958,17.051597,0.441790264
92,3,-12,33.09794472,49.75572339,17.14633226,0.506138326
93,6,-12,29.40544975,53.40762366,17.18692584,0.672659317
94,9,-12,26.30313155,56.43812506,17.25874166,0.537432958
95,12,-12,22.49884479,61.03837268,16.46279671,0.577338926
96,15,-12,19.53974486,64.80057494,15.65969663,0.57786792
97,18,-12,17.34320413,67.57105426,15.08573993,0.635693967
98,21,-12,15.13245122,70.38567694,14.48188354,0.483420012
99,24,-12,13.13026216,73.16731343,13.70244243,0.451267217
100,27,-12,11.47573388,75.61552814,12.90874361,0.427823364
101,30,-12,9.981596869,77.68582058,12.33258746,0.408989056
102,-30,-9,73.31071182,14.72712828,11.96214741,0.088601762
103,-27,-9,70.09213894,16.93266485,12.97519722,0.095384162
104,-24,-9,66.92279831,19.0765888,14.0006118,0.091970072
105,-21,-9,63.42307482,21.51475415,15.06217934,0.122430451
106,-18,-9,59.4989572,24.44502067,16.05604733,0.360552361
107,-15,-9,55.8428106,27.4613595,16.69584138,0.395165522
108,-12,-9,52.08538109,30.6746147,17.23999882,0.401162179
109,-9,-9,48.11195881,34.22761873,17.66041969,0.420511132
110,-6,-9,43.98008335,37.67915507,18.34075843,0.461081168
111,-3,-9,39.79892472,41.17850845,19.02256685,0.46652294
112,0,-9,35.52479987,44.87059838,19.60460268,0.478879218
113,3,-9,31.68410189,48.91650094,19.39939513,0.513347951
114,6,-9,28.11337071,52.67924602,19.2073861,0.531978034
115,9,-9,24.73201974,56.27806101,18.98991864,0.568398265
116,12,-9,21.73716693,59.81905509,18.44376382,0.578362104
117,15,-9,19.20070291,63.09587466,17.70340197,0.547032109
118,18,-9,16.89078704,66.1428335,16.96637968,0.512269966
119,21,-9,14.74298229,68.93518031,16.32182327,0.490700384
120,24,-9,12.79616082,71.71046373,15.49336357,0.472402442
121,27,-9,11.15611999,74.39771302,14.44618518,0.430902966
122,30,-9,9.812575722,76.45476139,13.73267208,0.41598826
123,-30,-6,71.20388391,14.89176785,13.90433236,0.094517873
124,-27,-6,67.9542221,16.97848044,15.06728222,0.457452211
125,-24,-6,64.77032363,19.01093743,16.2187279,0.101549596
126,-21,-6,61.41442072,21.40780684,17.17778197,0.189898115
127,-18,-6,57.82630112,24.29685299,17.87685647,0.366924435
128,-15,-6,53.76697885,27.11331304,19.11971995,0.393392169
129,-12,-6,49.90860158,30.20957091,19.88182567,0.37174428
130,-9,-6,45.91384918,33.64144435,20.44470886,0.377912256
131,-6,-6,41.95409383,37.00436822,21.04154698,0.46063631
132,-3,-6,38.13292369,40.36376947,21.50332312,0.474071135
133,0,-6,34.29240346,43.85360062,21.85399654,0.513721102
134,3,-6,30.26921773,48.27338338,21.45737766,0.515100993
135,6,-6,26.88242171,51.89672958,21.22084556,0.538796354
136,9,-6,23.79212182,55.08715308,21.12074359,0.543494329
137,12,-6,21.12551944,58.2123821,20.66209925,0.574599359
138,15,-6,18.58802744,61.52916593,19.88279785,0.560002536
139,18,-6,16.27306236,64.75838124,18.96855492,0.501071691
140,21,-6,14.27907044,67.46582144,18.25511852,0.500262318
141,24,-6,12.46042735,70.16940907,17.3701775,0.462502772
142,27,-6,10.92751835,72.69919079,16.37331383,0.467913807
143,30,-6,9.614488375,75.0597603,15.32576272,0.429447794
144,-30,-3,68.96833643,14.95081083,16.08084437,0.096193132
145,-27,-3,65.58316429,16.97601337,17.44080113,0.099290114
146,-24,-3,62.35735266,18.9979205,18.64471593,0.094424044
147,-21,-3,59.08129647,21.36326281,19.55544277,0.213812897
148,-18,-3,55.5329421,24.00302117,20.46404016,0.355495657
149,-15,-3,51.58720438,26.75782148,21.65497286,0.365936989
150,-12,-3,47.57838998,29.65494856,22.76665859,0.417126995
151,-9,-3,43.61775923,32.82174175,23.56049757,0.438227117
152,-6,-3,39.83851203,36.21716795,23.9443394,0.457408884
153,-3,-3,36.14564503,39.41414223,24.44023393,0.475451946
154,0,-3,32.585327,42.77328296,24.64139208,0.463398149
155,3,-3,28.83685276,46.97708471,24.1860403,0.477811957
156,6,-3,25.7325498,50.43642006,23.83101835,0.632146378
157,9,-3,23.06892267,53.11788775,23.81320976,0.524747926
158,12,-3,20.32774042,56.55067712,23.12159679,0.504523046
159,15,-3,17.78676119,59.95312394,22.26011474,0.599237306
160,18,-3,15.53930745,63.1818419,21.2788504,0.517333783
161,21,-3,13.70858097,65.89061391,20.40082131,0.505183745
162,24,-3,12.08538002,68.53153514,19.38310798,0.478497875
163,27,-3,10.63433526,71.01448739,18.35119537,0.46036319
164,30,-3,9.337673145,73.60254097,17.05979419,0.436344195
165,-30,0,66.66043654,14.87350821,18.46605292,0.097413832
166,-27,0,63.23707709,16.94502003,19.81790035,0.125928924
167,-24,0,59.54105341,19.10993875,21.34900352,0.173826011
168,-21,0,55.98471304,21.29408745,22.72120548,0.160721177
169,-18,0,52.43183742,23.49786355,24.07032546,0.292782258
170,-15,0,48.63868934,26.23247421,25.12884543,0.415581462
171,-12,0,45.00868647,29.17585494,25.81545306,0.422409693
172,-9,0,41.59846222,32.11110072,26.29043624,0.442515118
173,-6,0,37.82584238,35.06806043,27.10609966,0.454760141
174,-3,0,33.96635776,38.18930695,27.8443363,0.614216089
175,0,0,30.27890471,41.67056865,28.05052796,0.48608196
176,3,0,27.34269452,44.93223205,27.7250722,0.495194724
177,6,0,24.7800279,47.85520326,27.36476535,0.505813773
178,9,0,22.12289742,50.89028841,26.98678991,0.474719949
179,12,0,19.41845952,54.69504921,25.88648532,0.545598844
180,15,0,16.91399667,58.26815594,24.81785027,0.540044798
181,18,0,14.87950386,61.0631207,24.05737633,0.506388259
182,21,0,13.23629904,63.95099592,22.81270851,0.505715244
183,24,0,11.73885799,66.75618656,21.50495895,0.475672991
184,27,0,10.24785555,69.36032406,20.39182234,0.460363532
185,30,0,8.96619114,72.12157885,18.91223989,0.446962122
186,-30,3,63.80131332,14.9108175,21.28787014,0.128750778
187,-27,3,60.70839284,16.80763949,22.48397113,0.16970365
188,-24,3,56.97642032,18.79470209,24.22887818,0.155577535
189,-21,3,53.36015532,20.90501124,25.73483533,0.129608073
190,-18,3,49.84849949,23.08613043,27.0653817,0.318885107
191,-15,3,45.80291518,25.32646721,28.87064682,0.406423707
192,-12,3,42.42692327,28.07245534,29.50063767,0.40882651
193,-9,3,39.84574782,31.12544402,29.02880563,0.447666346
194,-6,3,35.83726982,33.7962225,30.36652846,0.442749465
195,-3,3,32.06305844,36.67627165,31.26066999,0.491783378
196,0,3,28.65891395,40.07557251,31.26549776,0.470928491
197,3,3,25.89819075,43.30442764,30.79736867,0.505636731
198,6,3,23.32909673,46.43040524,30.24049767,0.502653807
199,9,3,21.05039036,49.12142477,29.82816546,0.51401196
200,12,3,18.61381081,52.14244741,29.2437271,0.523095783
201,15,3,16.30703784,55.57982991,28.11312992,0.505434387
202,18,3,14.33776969,58.73727983,26.92494939,0.570221075
203,21,3,12.73339704,61.33145275,25.93513312,0.560785159
204,24,3,11.33209503,64.1408767,24.5270089,0.483332195
205,27,3,10.0053914,67.0144378,22.98016637,0.472492185
206,30,3,8.838760916,69.47956913,21.68167115,0.453262599
207,-30,6,60.20771488,14.93965011,24.85263639,0.169969723
208,-27,6,57.72300057,16.48363427,25.79336419,0.154730187
209,-24,6,54.33355119,18.20245671,27.46398564,0.119025231
210,-21,6,50.81968529,20.21667876,28.96362825,0.159605074
211,-18,6,47.3301037,22.49326352,30.17663402,0.361788155
212,-15,6,43.20033488,24.44552311,32.35417083,0.420817431
213,-12,6,39.81151403,26.8167776,33.37173546,0.431044872
214,-9,6,37.48941613,29.78872916,32.72186095,0.426788765
215,-6,6,33.63928568,32.41159059,33.9491532,0.479838345
216,-3,6,30.02777249,35.01388917,34.95835981,0.505984417
217,0,6,27.07617684,38.11750992,34.80628642,0.60124078
218,3,6,24.17091435,41.68321982,34.14585549,0.50774658
219,6,6,21.70864408,44.76446015,33.52690609,0.491459192
220,9,6,19.67777931,47.19771623,33.12451561,0.446953512
221,12,6,17.59172311,49.78586481,32.62241811,0.491336398
222,15,6,15.64640229,52.89347717,31.46012367,0.496244023
223,18,6,13.81493551,56.1850994,29.99996726,0.504952857
224,21,6,12.2988447,58.76363292,28.93750575,0.473818764
225,24,6,10.9772192,61.51574831,27.50701214,0.468476132
226,27,6,9.778101566,64.44539534,25.77650267,0.471127451
227,30,6,8.712129322,66.85531096,24.43256122,0.454557579
228,-30,9,56.97117834,14.64199343,28.38683143,0.156945319
229,-27,9,53.97703032,16.02169359,30.00127624,0.121535713
230,-24,9,51.11237337,17.68551354,31.20208915,0.113840756
231,-21,9,47.82962923,19.55727337,32.61308023,0.11974984
232,-18,9,44.17921569,21.54888298,34.2719282,0.397444803
233,-15,9,40.53747568,23.5437725,35.91876438,0.380141908
234,-12,9,37.21345768,25.69931167,37.0872401,0.447586014
235,-9,9,34.07528334,28.17368921,37.75105595,0.482807889
236,-6,9,31.08428195,31.06610609,37.84962967,0.480640562
237,-3,9,28.0873555,33.55941342,38.35322985,0.46615985
238,0,9,25.1751152,35.81802588,39.00685686,0.506679339
239,3,9,22.94745568,39.00654843,38.04599093,0.596316186
240,6,9,20.66422834,41.91281266,37.4229671,0.443293033
241,9,9,18.20669824,44.39715536,37.39617638,0.494656966
242,12,9,16.47901123,47.33161131,36.18939064,0.466703708
243,15,9,14.90930672,50.52837392,34.56231766,0.469645295
244,18,9,13.20889422,53.42759321,33.36351383,0.477318295
245,21,9,11.84028406,56.28327385,31.87644123,0.48349746
246,24,9,10.63427736,59.16292526,30.2027948,0.470316289
247,27,9,9.448020603,61.90581834,28.64616103,0.467860897
248,30,9,8.457398021,64.46437601,27.07822592,0.462145202
249,-30,12,53.87731098,14.2291679,31.89352225,0.12574775
250,-27,12,50.43570261,15.56441814,33.9998793,0.116807376
251,-24,12,47.40089374,17.13897019,35.46011928,0.106667845
252,-21,12,44.04954671,18.77148974,37.17894986,0.340995704
253,-18,12,40.55091327,20.52448195,38.92461774,0.423619433
254,-15,12,37.2380081,22.55396647,40.20803778,0.436390146
255,-12,12,34.40662775,24.760741,40.83262953,0.457903573
256,-9,12,31.51733895,26.95418567,41.52849163,0.478253538
257,-6,12,28.82367223,29.30759641,41.86873321,0.480427882
258,-3,12,25.95843481,31.13422576,42.90733797,0.493919743
259,0,12,23.6412936,34.07843758,42.28027085,0.503113634
260,3,12,21.49473229,36.93458124,41.57070646,0.487903489
261,6,12,19.32283051,39.45428448,41.22290817,0.48802381
262,9,12,17.02057811,41.33511298,41.64430446,0.47114124
263,12,12,15.42525926,44.7729714,39.80177831,0.470410403
264,15,12,14.02229984,48.17435385,37.80334491,0.470928097
265,18,12,12.49834081,50.9063482,36.5952949,0.46983812
266,21,12,11.27310478,53.24798283,35.47891076,0.465036306
267,24,12,10.22682732,56.07177727,33.70139517,0.516400308
268,27,12,9.162238987,58.91317699,31.92457138,0.465837603
269,30,12,8.215856768,61.74539699,30.03873326,0.463459523
270,-27,15,46.98201525,15.05432566,37.9636601,0.119165667
271,-24,15,43.64860539,16.53422619,39.81716934,0.107911041
272,-21,15,40.41464525,18.01365675,41.57169919,0.404233064
273,-18,15,37.1635241,19.52898156,43.30749229,0.435190038
274,-15,15,34.0940656,21.35936217,44.54657422,0.451881028
275,-12,15,31.48212744,23.51848725,44.99938283,0.472206539
276,-9,15,29.27182664,25.67461531,45.05355032,0.496601928
277,-6,15,26.55022036,27.25614317,46.19363626,0.46471469
278,-3,15,23.95440184,29.03643014,47.00916821,0.500620625
279,0,15,21.92394419,31.97342094,46.10263378,0.585997619
280,3,15,20.02167986,34.85173904,45.12659812,0.518504122
281,6,15,17.95216255,36.93837754,45.10947284,0.456626402
282,9,15,15.93168247,38.53733118,45.53096389,0.445762378
283,12,15,14.46441268,41.9382117,43.59737354,0.450623353
284,15,15,13.11709191,45.29177717,41.59112422,0.457597205
285,18,15,11.78598169,47.84803967,40.36595379,0.455120155
286,21,15,10.69821514,50.24313941,39.05863799,0.455300072
287,24,15,9.726768054,52.97962426,37.29360458,0.453167293
288,27,15,8.823578555,55.7853979,35.39099888,0.457823361
289,-27,18,43.53862124,14.46831965,41.99305946,0.114126334
290,-24,18,40.23610899,15.80301252,43.96087817,0.33471933
291,-21,18,37.19795189,17.15407608,45.64797279,0.52957797
292,-18,18,34.38400267,18.56661938,47.04937758,0.440997366
293,-15,18,31.53585511,20.04874877,48.4153976,0.478969645
294,-12,18,29.04495431,21.898207,49.05683312,0.487474083
295,-9,18,26.79321502,24.02515628,49.18159882,0.493082366
296,-6,18,24.32517847,25.94413302,49.7306791,0.49465196
297,-3,18,21.90826616,27.51191088,50.57982518,0.47847732
298,0,18,19.7971477,29.09906721,51.10378574,0.464343935
299,3,18,18.12366079,31.77637235,50.09996696,0.461299233
300,6,18,16.48080137,34.17953323,49.33966853,0.43891802
301,9,18,14.84159767,36.17400568,48.98441881,0.451821084
302,12,18,13.44521931,38.95561223,47.59918075,0.445033201
303,15,18,12.22979562,41.69902608,46.07117333,0.443839709
304,18,18,11.16986362,44.28596625,44.54416672,0.435066736
305,21,18,10.15792537,47.47924835,42.36282659,0.444812801
306,24,18,9.231187586,50.48984565,40.27896308,0.447039773
307,27,18,8.367538696,52.95512061,38.67733506,0.447715517
308,-24,21,36.90017324,15.02707845,48.0727472,0.423495222
309,-21,21,33.98453656,16.1091436,49.90632244,0.434626006
310,-18,21,31.29111687,17.30144552,51.4074388,0.466329192
311,-15,21,28.54809935,18.57674618,52.87514872,0.479743924
312,-12,21,26.076954,20.16816383,53.75488187,0.48732808
313,-9,21,23.96977125,22.04551271,53.98472171,0.495054286
314,-6,21,21.89408237,23.97234,54.13358335,0.473642052
315,-3,21,19.92551031,25.3983884,54.67608048,0.455858389
316,0,21,17.97524742,26.65511981,55.36962937,0.45380786
317,3,21,16.43653783,29.06346051,54.50000056,0.433715097
318,6,21,14.9629607,31.51068847,53.52635023,0.501045179
319,9,21,13.71401361,33.8072221,52.47877933,0.496408627
320,12,21,12.53232707,36.28767299,51.180003,0.421343354
321,15,21,11.41407639,38.80401422,49.78190848,0.437527425
322,18,21,10.38052394,41.23623721,48.38324073,0.419443651
323,21,21,9.557573231,44.00286336,46.43956655,0.406005247
324,24,21,8.741555133,46.8840315,44.3744143,0.433034678
325,-21,24,30.74840246,15.13664815,54.11495119,0.462172435
326,-18,24,28.10754479,15.99189216,55.90056302,0.472138567
327,-15,24,25.41117371,17.17347231,57.41533094,0.464741969
328,-12,24,23.0932601,18.51903026,58.38769607,0.494334783
329,-9,24,21.29702521,20.00655065,58.69644572,0.499347796
330,-6,24,19.65494841,21.71597917,58.62907339,0.434118815
331,-3,24,18.03177884,23.13787822,58.83032774,0.466319633
332,0,24,16.47428911,24.67040436,58.85530801,0.422134705
333,3,24,14.95913763,26.84234699,58.19851595,0.582614144
334,6,24,13.60764152,28.92649737,57.4658605,0.439881529
335,9,24,12.61658034,31.20845292,56.17496767,0.432438683
336,12,24,11.62661629,33.61407211,54.75931166,0.433499915
337,15,24,10.59537769,35.99397475,53.41064632,0.412168481
338,18,24,9.577331478,38.29419712,52.12847033,0.412979308
339,21,24,8.905062394,40.66105896,50.43387822,0.422300124
340,-18,27,25.1365278,14.95414282,59.90932916,0.467190973
341,-15,27,22.76365716,15.9267364,61.30958743,0.497481629
342,-12,27,20.76974946,17.04558566,62.18464221,0.49085653
343,-9,27,19.18983614,18.22087687,62.58926652,0.461967929
344,-6,27,17.42784756,19.43959969,63.13256979,0.429586341
345,-3,27,16.11592061,21.11767508,62.7664244,0.466542438
346,0,27,15.21101904,23.31007243,61.47891019,0.459111016
347,3,27,13.77624954,24.76936903,61.45437685,0.433138329
348,6,27,12.51556138,26.32640953,61.15803337,0.426561322
349,9,27,11.61600673,28.31793491,60.06608019,0.469341629
350,12,27,10.61972167,30.37144269,59.00884404,0.51239487
351,15,27,9.675027606,32.58255438,57.74241445,0.403943971
352,18,27,9.048429041,35.29527887,55.65629118,0.403968431
353,-12,30,18.60240327,15.48225658,65.91533008,0.47801336
354,-9,30,17.20039562,16.63323076,66.16635197,0.509436002
355,-6,30,15.81752915,17.91988306,66.26257568,0.405246781
356,-3,30,14.42043175,19.14425892,66.43532109,0.450689795
357,0,30,13.54781836,20.94523053,65.50695207,0.497921249
358,3,30,12.29181763,22.18058109,65.52760112,0.423224733
359,6,30,11.38820782,24.03721203,64.5745875,0.421273339
360,9,30,10.62281176,26.00090631,63.37630653,0.429040821
361,12,30,9.758737302,27.92951005,62.31176919,0.392666831
