x,y,fwhm_IA_
-31.64,-9.04,0.565600391266217
-31.64,-4.52,0.550443105608133
-31.64,0,0.590904173486523
-31.64,4.52,0.558430363742477
-31.64,9.04,0.598072542865554
-27.12,-18.08,0.55555026319072
-27.12,-13.56,0.536345171071411
-27.12,-9.04,0.56378158295126
-27.12,-4.52,0.513067937526293
-27.12,0,0.500956249882516
-27.12,4.52,0.556841626946105
-27.12,9.04,0.379199667109259
-27.12,13.56,0.436839566281232
-27.12,18.08,0.500705727371405
-22.6,-22.6,0.539052444937261
-22.6,-18.08,0.526338836011541
-22.6,-13.56,0.62998279632837
-22.6,-9.04,0.525809553898772
-22.6,-4.52,0.551861423684812
-22.6,0,0.44117937086724
-22.6,4.52,0.493731026839907
-22.6,9.04,0.3877692502458
-22.6,13.56,0.49870984137339
-22.6,18.08,0.397177487998933
-22.6,22.6,0.448690106410582
-18.08,-27.12,0.580142756072245
-18.08,-22.6,0.460279364968657
-18.08,-18.08,0.457160131139065
-18.08,-13.56,0.573754592461093
-18.08,-9.04,0.618129477187867
-18.08,-4.52,0.50354282143467
-18.08,0,0.44717410403699
-18.08,4.52,0.440282452895243
-18.08,9.04,0.391579765796812
-18.08,13.56,0.491601217591014
-18.08,18.08,0.36956313193447
-18.08,22.6,0.363075358577881
-18.08,27.12,0.45937250332155
-13.56,-27.12,0.495108561402237
-13.56,-22.6,0.534497736018279
-13.56,-18.08,0.508444242999782
-13.56,-13.56,0.45060511125196
-13.56,-9.04,0.460730013094528
-13.56,-4.52,0.53406499357612
-13.56,0,0.462274653579427
-13.56,4.52,0.472376516761627
-13.56,9.04,0.491102386637501
-13.56,13.56,0.418290058840368
-13.56,18.08,0.308050482343811
-13.56,22.6,0.475443873340507
-13.56,27.12,0.270125296201062
-9.04,-31.64,0.47073806352557
-9.04,-27.12,0.440966923706601
-9.04,-22.6,0.446882242840123
-9.04,-18.08,0.437408419827872
-9.04,-13.56,0.431041315473607
-9.04,-9.04,0.435060348924778
-9.04,-4.52,0.461132907623985
-9.04,0,0.42827799614053
-9.04,4.52,0.413946066253683
-9.04,9.04,0.354406877542182
-9.04,13.56,0.451239865486392
-9.04,18.08,0.47926313321528
-9.04,22.6,0.429156276719634
-9.04,27.12,0.340086076119137
-9.04,31.64,0.0441501370870152
-4.52,-31.64,0.450459402813986
-4.52,-27.12,0.357544177932349
-4.52,-22.6,0.326060338473979
-4.52,-18.08,0.375891462681276
-4.52,-13.56,0.315384617274438
-4.52,-9.04,0.213394581055799
-4.52,-4.52,0.266462112137601
-4.52,0,0.169306561226843
-4.52,4.52,0.334080978534036
-4.52,9.04,0.322043698123616
-4.52,13.56,0.403358707497889
-4.52,18.08,NaN
-4.52,22.6,NaN
-4.52,27.12,0.411408477408936
-4.52,31.64,0.354450806559785
0,-31.64,0.320156405254005
0,-27.12,0.326278764714442
0,-22.6,0.320871879879727
0,-18.08,0.213541933520128
0,-13.56,0.0836818913793591
0,-9.04,0.0728944067600343
0,-4.52,0.0735587109188041
0,0,0.0807039592792771
0,4.52,0.088835113549246
0,9.04,0.232226899898761
0,13.56,0.348063886899234
0,18.08,NaN
0,22.6,NaN
0,27.12,0.381134195994983
0,31.64,0.476341216473244
4.52,-31.64,0.349836773735718
4.52,-27.12,0.3113090657929
4.52,-22.6,0.238416619106452
4.52,-18.08,0.0831155083850628
4.52,-13.56,0.0658490634829478
4.52,-9.04,0.0647503005047345
4.52,-4.52,0.0634498796991223
4.52,0,0.0687651380756091
4.52,4.52,0.0730997716969521
4.52,9.04,0.0967086406052844
4.52,13.56,0.28212780347342
4.52,18.08,NaN
4.52,22.6,NaN
4.52,27.12,0.0402810788408834
4.52,31.64,0.0395558256814676
9.04,-31.64,0.114614212330522
9.04,-27.12,0.119506299125783
9.04,-22.6,0.142757519857633
9.04,-18.08,0.0873219983894966
9.04,-13.56,0.0643502344040727
9.04,-9.04,0.0604943565583289
9.04,-4.52,0.0604548212548703
9.04,0,0.061481506589065
9.04,4.52,0.0647860485515652
9.04,9.04,0.06938059493018
9.04,13.56,0.0394735009722216
9.04,18.08,NaN
9.04,22.6,NaN
9.04,27.12,0.0401601721005083
9.04,31.64,0.0397237907137598
13.56,-27.12,0.105150679221495
13.56,-22.6,0.108283612823441
13.56,-18.08,0.110573109835916
13.56,-13.56,0.0914200007985406
13.56,-9.04,0.0635209514335644
13.56,-4.52,0.0578947457799015
13.56,0,0.0557423613874701
13.56,4.52,0.0594837354299074
13.56,9.04,0.03973005769635
13.56,13.56,0.0394966827330152
13.56,18.08,0.101798878622724
13.56,22.6,NaN
13.56,27.12,NaN
18.08,-27.12,0.106114173800333
18.08,-22.6,0.112758651953913
18.08,-18.08,0.109022542739637
18.08,-13.56,0.116565442870506
18.08,-9.04,0.0991848742571531
18.08,-4.52,0.0655236404272457
18.08,0,0.0578104861904167
18.08,4.52,0.056020703148878
18.08,9.04,0.0400422756733376
18.08,13.56,0.0398879293898413
18.08,18.08,0.0622971506640773
18.08,22.6,NaN
18.08,27.12,NaN
22.6,-22.6,0.0975924077305987
22.6,-18.08,0.108202388906779
22.6,-13.56,0.114376941341706
22.6,-9.04,0.130669041379774
22.6,-4.52,0.127488772637714
22.6,0,0.0645266301657701
22.6,4.52,0.0599977026942282
22.6,9.04,0.0403013865094062
22.6,13.56,0.0402757769289601
22.6,18.08,0.0590999461067114
22.6,22.6,NaN
27.12,-18.08,0.0986876423382474
27.12,-13.56,0.104240539246086
27.12,-9.04,0.117124919374683
27.12,-4.52,0.138949902299888
27.12,0,0.139312099635485
27.12,4.52,0.0688777189543099
27.12,9.04,0.039935922337937
27.12,13.56,0.0399659837304975
27.12,18.08,0.0640866932918938
31.64,-9.04,0.0960191372107606
31.64,-4.52,0.112185311081014
31.64,0,0.138241028866326
31.64,4.52,0.139741473670624
31.64,9.04,0.0398507173729774
